"","age_group","cumulative","date","incidence"
"692","5-14",476,2020-06-25,3
"693","15-24",1685,2020-06-25,5
"694","25-34",2503,2020-06-25,13
"695","35-44",2481,2020-06-25,9
"696","45-54",3513,2020-06-25,9
"697","55-64",2837,2020-06-25,7
"698","65-74",1462,2020-06-25,1
"699","75-84",1404,2020-06-25,0
"700",">84",932,2020-06-25,-1
"701","<5",138,2020-06-26,1
"702","5-14",483,2020-06-26,7
"703","15-24",1696,2020-06-26,11
"704","25-34",2517,2020-06-26,14
"705","35-44",2494,2020-06-26,13
"706","45-54",3522,2020-06-26,9
"707","55-64",2843,2020-06-26,6
"708","65-74",1462,2020-06-26,0
"709","75-84",1406,2020-06-26,2
"710",">84",933,2020-06-26,1
"711","<5",138,2020-06-27,0
"712","5-14",487,2020-06-27,4
"713","15-24",1703,2020-06-27,7
"714","25-34",2536,2020-06-27,19
"715","35-44",2507,2020-06-27,13
"716","45-54",3529,2020-06-27,7
"717","55-64",2852,2020-06-27,9
"718","65-74",1466,2020-06-27,4
"719","75-84",1408,2020-06-27,2
"720",">84",934,2020-06-27,1
"721","<5",143,2020-06-28,5
"722","5-14",498,2020-06-28,11
"723","15-24",1710,2020-06-28,7
"724","25-34",2552,2020-06-28,16
"725","35-44",2518,2020-06-28,11
"726","45-54",3533,2020-06-28,4
"727","55-64",2855,2020-06-28,3
"728","65-74",1467,2020-06-28,1
"729","75-84",1409,2020-06-28,1
"730",">84",934,2020-06-28,0
"731","<5",147,2020-06-29,4
"732","5-14",500,2020-06-29,2
"733","15-24",1716,2020-06-29,6
"734","25-34",2562,2020-06-29,10
"735","35-44",2526,2020-06-29,8
"736","45-54",3544,2020-06-29,11
"737","55-64",2857,2020-06-29,2
"738","65-74",1470,2020-06-29,3
"739","75-84",1410,2020-06-29,1
"740",">84",933,2020-06-29,-1
"741","<5",151,2020-06-30,4
"742","5-14",508,2020-06-30,8
"743","15-24",1727,2020-06-30,11
"744","25-34",2582,2020-06-30,20
"745","35-44",2552,2020-06-30,26
"746","45-54",3561,2020-06-30,17
"747","55-64",2859,2020-06-30,2
"748","65-74",1473,2020-06-30,3
"749","75-84",1410,2020-06-30,0
"750",">84",934,2020-06-30,1
"751","<5",154,2020-07-01,3
"752","5-14",517,2020-07-01,9
"753","15-24",1740,2020-07-01,13
"754","25-34",2600,2020-07-01,18
"755","35-44",2567,2020-07-01,15
"756","45-54",3580,2020-07-01,19
"757","55-64",2869,2020-07-01,10
"758","65-74",1473,2020-07-01,0
"759","75-84",1413,2020-07-01,3
"760",">84",936,2020-07-01,2
"761","<5",163,2020-07-02,9
"762","5-14",534,2020-07-02,17
"763","15-24",1789,2020-07-02,49
"764","25-34",2622,2020-07-02,22
"765","35-44",2597,2020-07-02,30
"766","45-54",3609,2020-07-02,29
"767","55-64",2831,2020-07-02,-38
"768","65-74",1467,2020-07-02,-6
"769","75-84",1408,2020-07-02,-5
"770",">84",919,2020-07-02,-17
"771","<5",172,2020-07-03,9
"772","5-14",553,2020-07-03,19
"773","15-24",1806,2020-07-03,17
"774","25-34",2648,2020-07-03,26
"775","35-44",2620,2020-07-03,23
"776","45-54",3628,2020-07-03,19
"777","55-64",2838,2020-07-03,7
"778","65-74",1471,2020-07-03,4
"779","75-84",1408,2020-07-03,0
"780",">84",924,2020-07-03,5
"781","<5",174,2020-07-04,2
"782","5-14",570,2020-07-04,17
"783","15-24",1830,2020-07-04,24
"784","25-34",2675,2020-07-04,27
"785","35-44",2638,2020-07-04,18
"786","45-54",3641,2020-07-04,13
"787","55-64",2848,2020-07-04,10
"788","65-74",1474,2020-07-04,3
"789","75-84",1410,2020-07-04,2
"790",">84",926,2020-07-04,2
"791","<5",183,2020-07-05,9
"792","5-14",582,2020-07-05,12
"793","15-24",1837,2020-07-05,7
"794","25-34",2689,2020-07-05,14
"795","35-44",2648,2020-07-05,10
"796","45-54",3653,2020-07-05,12
"797","55-64",2856,2020-07-05,8
"798","65-74",1475,2020-07-05,1
"799","75-84",1411,2020-07-05,1
"800",">84",926,2020-07-05,0
"801","<5",185,2020-07-06,2
"802","5-14",588,2020-07-06,6
"803","15-24",1844,2020-07-06,7
"804","25-34",2703,2020-07-06,14
"805","35-44",2663,2020-07-06,15
"806","45-54",3657,2020-07-06,4
"807","55-64",2859,2020-07-06,3
"808","65-74",1479,2020-07-06,4
"809","75-84",1415,2020-07-06,4
"810",">84",929,2020-07-06,3
"811","<5",181,2020-07-07,-4
"812","5-14",585,2020-07-07,-3
"813","15-24",1825,2020-07-07,-19
"814","25-34",2710,2020-07-07,7
"815","35-44",2658,2020-07-07,-5
"816","45-54",3650,2020-07-07,-7
"817","55-64",2931,2020-07-07,72
"818","65-74",1495,2020-07-07,16
"819","75-84",1424,2020-07-07,9
"820",">84",950,2020-07-07,21
"821","<5",183,2020-07-08,2
"822","5-14",589,2020-07-08,4
"823","15-24",1842,2020-07-08,17
"824","25-34",2734,2020-07-08,24
"825","35-44",2669,2020-07-08,11
"826","45-54",3666,2020-07-08,16
"827","55-64",2945,2020-07-08,14
"828","65-74",1498,2020-07-08,3
"829","75-84",1426,2020-07-08,2
"830",">84",951,2020-07-08,1
"831","<5",184,2020-07-09,1
"832","5-14",595,2020-07-09,6
"833","15-24",1863,2020-07-09,21
"834","25-34",2752,2020-07-09,18
"835","35-44",2687,2020-07-09,18
"836","45-54",3681,2020-07-09,15
"837","55-64",2953,2020-07-09,8
"838","65-74",1505,2020-07-09,7
"839","75-84",1429,2020-07-09,3
"840",">84",955,2020-07-09,4
"841","<5",187,2020-07-10,3
"842","5-14",601,2020-07-10,6
"843","15-24",1884,2020-07-10,21
"844","25-34",2765,2020-07-10,13
"845","35-44",2702,2020-07-10,15
"846","45-54",3696,2020-07-10,15
"847","55-64",2958,2020-07-10,5
"848","65-74",1508,2020-07-10,3
"849","75-84",1430,2020-07-10,1
"850",">84",955,2020-07-10,0
"851","<5",191,2020-07-11,4
"852","5-14",612,2020-07-11,11
"853","15-24",1898,2020-07-11,14
"854","25-34",2789,2020-07-11,24
"855","35-44",2724,2020-07-11,22
"856","45-54",3712,2020-07-11,16
"857","55-64",2965,2020-07-11,7
"858","65-74",1511,2020-07-11,3
"859","75-84",1435,2020-07-11,5
"860",">84",956,2020-07-11,1
"861","<5",194,2020-07-12,3
"862","5-14",613,2020-07-12,1
"863","15-24",1907,2020-07-12,9
"864","25-34",2802,2020-07-12,13
"865","35-44",2735,2020-07-12,11
"866","45-54",3722,2020-07-12,10
"867","55-64",2965,2020-07-12,0
"868","65-74",1513,2020-07-12,2
"869","75-84",1438,2020-07-12,3
"870",">84",956,2020-07-12,0
"871","<5",194,2020-07-13,0
"872","5-14",617,2020-07-13,4
"873","15-24",1909,2020-07-13,2
"874","25-34",2810,2020-07-13,8
"875","35-44",2740,2020-07-13,5
"876","45-54",3728,2020-07-13,6
"877","55-64",2968,2020-07-13,3
"878","65-74",1515,2020-07-13,2
"879","75-84",1438,2020-07-13,0
"880",">84",957,2020-07-13,1
"881","<5",199,2020-07-14,5
"882","5-14",634,2020-07-14,17
"883","15-24",1941,2020-07-14,32
"884","25-34",2850,2020-07-14,40
"885","35-44",2763,2020-07-14,23
"886","45-54",3758,2020-07-14,30
"887","55-64",2989,2020-07-14,21
"888","65-74",1521,2020-07-14,6
"889","75-84",1443,2020-07-14,5
"890",">84",959,2020-07-14,2
"891","<5",200,2020-07-15,1
"892","5-14",641,2020-07-15,7
"893","15-24",1954,2020-07-15,13
"894","25-34",2878,2020-07-15,28
"895","35-44",2779,2020-07-15,16
"896","45-54",3779,2020-07-15,21
"897","55-64",3000,2020-07-15,11
"898","65-74",1527,2020-07-15,6
"899","75-84",1447,2020-07-15,4
"900",">84",960,2020-07-15,1
"901","<5",205,2020-07-16,5
"902","5-14",652,2020-07-16,11
"903","15-24",1978,2020-07-16,24
"904","25-34",2914,2020-07-16,36
"905","35-44",2804,2020-07-16,25
"906","45-54",3812,2020-07-16,33
"907","55-64",3024,2020-07-16,24
"908","65-74",1534,2020-07-16,7
"909","75-84",1453,2020-07-16,6
"910",">84",964,2020-07-16,4
"911","<5",209,2020-07-17,4
"912","5-14",670,2020-07-17,18
"913","15-24",2001,2020-07-17,23
"914","25-34",2938,2020-07-17,24
"915","35-44",2828,2020-07-17,24
"916","45-54",3829,2020-07-17,17
"917","55-64",3036,2020-07-17,12
"918","65-74",1538,2020-07-17,4
"919","75-84",1455,2020-07-17,2
"920",">84",966,2020-07-17,2
"921","<5",211,2020-07-18,2
"922","5-14",677,2020-07-18,7
"923","15-24",2018,2020-07-18,17
"924","25-34",2949,2020-07-18,11
"925","35-44",2834,2020-07-18,6
"926","45-54",3846,2020-07-18,17
"927","55-64",3041,2020-07-18,5
"928","65-74",1541,2020-07-18,3
"929","75-84",1456,2020-07-18,1
"930",">84",969,2020-07-18,3
"931","<5",214,2020-07-19,3
"932","5-14",692,2020-07-19,15
"933","15-24",2031,2020-07-19,13
"934","25-34",2966,2020-07-19,17
"935","35-44",2849,2020-07-19,15
"936","45-54",3859,2020-07-19,13
"937","55-64",3048,2020-07-19,7
"938","65-74",1552,2020-07-19,11
"939","75-84",1461,2020-07-19,5
"940",">84",970,2020-07-19,1
"941","<5",218,2020-07-20,4
"942","5-14",694,2020-07-20,2
"943","15-24",2044,2020-07-20,13
"944","25-34",2978,2020-07-20,12
"945","35-44",2855,2020-07-20,6
"946","45-54",3881,2020-07-20,22
"947","55-64",3059,2020-07-20,11
"948","65-74",1554,2020-07-20,2
"949","75-84",1467,2020-07-20,6
"950",">84",971,2020-07-20,1
"951","<5",220,2020-07-21,2
"952","5-14",702,2020-07-21,8
"953","15-24",2071,2020-07-21,27
"954","25-34",3004,2020-07-21,26
"955","35-44",2869,2020-07-21,14
"956","45-54",3910,2020-07-21,29
"957","55-64",3073,2020-07-21,14
"958","65-74",1564,2020-07-21,10
"959","75-84",1476,2020-07-21,9
"960",">84",973,2020-07-21,2
"961","<5",222,2020-07-22,2
"962","5-14",710,2020-07-22,8
"963","15-24",2115,2020-07-22,44
"964","25-34",3036,2020-07-22,32
"965","35-44",2892,2020-07-22,23
"966","45-54",3926,2020-07-22,16
"967","55-64",3096,2020-07-22,23
"968","65-74",1571,2020-07-22,7
"969","75-84",1487,2020-07-22,11
"970",">84",974,2020-07-22,1
"971","<5",223,2020-07-23,1
"972","5-14",720,2020-07-23,10
"973","15-24",2137,2020-07-23,22
"974","25-34",3063,2020-07-23,27
"975","35-44",2905,2020-07-23,13
"976","45-54",3937,2020-07-23,11
"977","55-64",3116,2020-07-23,20
"978","65-74",1578,2020-07-23,7
"979","75-84",1492,2020-07-23,5
"980",">84",975,2020-07-23,1
"981","<5",227,2020-07-24,4
"982","5-14",734,2020-07-24,14
"983","15-24",2172,2020-07-24,35
"984","25-34",3096,2020-07-24,33
"985","35-44",2920,2020-07-24,15
"986","45-54",3955,2020-07-24,18
"987","55-64",3123,2020-07-24,7
"988","65-74",1584,2020-07-24,6
"989","75-84",1499,2020-07-24,7
"990",">84",978,2020-07-24,3
"991","<5",232,2020-07-25,5
"992","5-14",744,2020-07-25,10
"993","15-24",2196,2020-07-25,24
"994","25-34",3124,2020-07-25,28
"995","35-44",2937,2020-07-25,17
"996","45-54",3973,2020-07-25,18
"997","55-64",3133,2020-07-25,10
"998","65-74",1592,2020-07-25,8
"999","75-84",1500,2020-07-25,1
"1000",">84",979,2020-07-25,1
"1001","<5",234,2020-07-26,2
"1002","5-14",748,2020-07-26,4
"1003","15-24",2228,2020-07-26,32
"1004","25-34",3140,2020-07-26,16
"1005","35-44",2953,2020-07-26,16
"1006","45-54",3983,2020-07-26,10
"1007","55-64",3140,2020-07-26,7
"1008","65-74",1599,2020-07-26,7
"1009","75-84",1503,2020-07-26,3
"1010",">84",981,2020-07-26,2
"1011","<5",236,2020-07-27,2
"1012","5-14",758,2020-07-27,10
"1013","15-24",2255,2020-07-27,27
"1014","25-34",3157,2020-07-27,17
"1015","35-44",2964,2020-07-27,11
"1016","45-54",4001,2020-07-27,18
"1017","55-64",3150,2020-07-27,10
"1018","65-74",1604,2020-07-27,5
"1019","75-84",1507,2020-07-27,4
"1020",">84",982,2020-07-27,1
"1021","<5",238,2020-07-28,2
"1022","5-14",766,2020-07-28,8
"1023","15-24",2288,2020-07-28,33
"1024","25-34",3191,2020-07-28,34
"1025","35-44",2989,2020-07-28,25
"1026","45-54",4028,2020-07-28,27
"1027","55-64",3171,2020-07-28,21
"1028","65-74",1616,2020-07-28,12
"1029","75-84",1510,2020-07-28,3
"1030",">84",985,2020-07-28,3
"1031","<5",244,2020-07-29,6
"1032","5-14",771,2020-07-29,5
"1033","15-24",2316,2020-07-29,28
"1034","25-34",3201,2020-07-29,10
"1035","35-44",2995,2020-07-29,6
"1036","45-54",4043,2020-07-29,15
"1037","55-64",3180,2020-07-29,9
"1038","65-74",1623,2020-07-29,7
"1039","75-84",1517,2020-07-29,7
"1040",">84",987,2020-07-29,2
"1041","<5",248,2020-07-30,4
"1042","5-14",786,2020-07-30,15
"1043","15-24",2369,2020-07-30,53
"1044","25-34",3238,2020-07-30,37
"1045","35-44",3025,2020-07-30,30
"1046","45-54",4060,2020-07-30,17
"1047","55-64",3197,2020-07-30,17
"1048","65-74",1630,2020-07-30,7
"1049","75-84",1520,2020-07-30,3
"1050",">84",986,2020-07-30,-1
"1051","<5",251,2020-07-31,3
"1052","5-14",794,2020-07-31,8
"1053","15-24",2401,2020-07-31,32
"1054","25-34",3256,2020-07-31,18
"1055","35-44",3034,2020-07-31,9
"1056","45-54",4082,2020-07-31,22
"1057","55-64",3198,2020-07-31,1
"1058","65-74",1631,2020-07-31,1
"1059","75-84",1518,2020-07-31,-2
"1060",">84",989,2020-07-31,3
"1061","<5",252,2020-08-01,1
"1062","5-14",798,2020-08-01,4
"1063","15-24",2413,2020-08-01,12
"1064","25-34",3269,2020-08-01,13
"1065","35-44",3053,2020-08-01,19
"1066","45-54",4094,2020-08-01,12
"1067","55-64",3205,2020-08-01,7
"1068","65-74",1634,2020-08-01,3
"1069","75-84",1521,2020-08-01,3
"1070",">84",990,2020-08-01,1
"1071","<5",255,2020-08-02,3
"1072","5-14",799,2020-08-02,1
"1073","15-24",2431,2020-08-02,18
"1074","25-34",3293,2020-08-02,24
"1075","35-44",3065,2020-08-02,12
"1076","45-54",4101,2020-08-02,7
"1077","55-64",3212,2020-08-02,7
"1078","65-74",1639,2020-08-02,5
"1079","75-84",1524,2020-08-02,3
"1080",">84",990,2020-08-02,0
"1081","<5",256,2020-08-03,1
"1082","5-14",804,2020-08-03,5
"1083","15-24",2457,2020-08-03,26
"1084","25-34",3310,2020-08-03,17
"1085","35-44",3080,2020-08-03,15
"1086","45-54",4118,2020-08-03,17
"1087","55-64",3221,2020-08-03,9
"1088","65-74",1639,2020-08-03,0
"1089","75-84",1530,2020-08-03,6
"1090",">84",990,2020-08-03,0
"1091","<5",257,2020-08-04,1
"1092","5-14",806,2020-08-04,2
"1093","15-24",2487,2020-08-04,30
"1094","25-34",3320,2020-08-04,10
"1095","35-44",3091,2020-08-04,11
"1096","45-54",4131,2020-08-04,13
"1097","55-64",3227,2020-08-04,6
"1098","65-74",1644,2020-08-04,5
"1099","75-84",1531,2020-08-04,1
"1100",">84",994,2020-08-04,4
"1101","<5",259,2020-08-05,2
"1102","5-14",820,2020-08-05,14
"1103","15-24",2522,2020-08-05,35
"1104","25-34",3351,2020-08-05,31
"1105","35-44",3110,2020-08-05,19
"1106","45-54",4139,2020-08-05,8
"1107","55-64",3247,2020-08-05,20
"1108","65-74",1648,2020-08-05,4
"1109","75-84",1533,2020-08-05,2
"1110",">84",995,2020-08-05,1
"1111","<5",259,2020-08-06,0
"1112","5-14",827,2020-08-06,7
"1113","15-24",2554,2020-08-06,32
"1114","25-34",3381,2020-08-06,30
"1115","35-44",3133,2020-08-06,23
"1116","45-54",4158,2020-08-06,19
"1117","55-64",3268,2020-08-06,21
"1118","65-74",1655,2020-08-06,7
"1119","75-84",1536,2020-08-06,3
"1120",">84",996,2020-08-06,1
"1121","<5",260,2020-08-07,1
"1122","5-14",833,2020-08-07,6
"1123","15-24",2576,2020-08-07,22
"1124","25-34",3407,2020-08-07,26
"1125","35-44",3144,2020-08-07,11
"1126","45-54",4168,2020-08-07,10
"1127","55-64",3284,2020-08-07,16
"1128","65-74",1658,2020-08-07,3
"1129","75-84",1538,2020-08-07,2
"1130",">84",996,2020-08-07,0
"1131","<5",263,2020-08-08,3
"1132","5-14",837,2020-08-08,4
"1133","15-24",2605,2020-08-08,29
"1134","25-34",3424,2020-08-08,17
"1135","35-44",3167,2020-08-08,23
"1136","45-54",4183,2020-08-08,15
"1137","55-64",3296,2020-08-08,12
"1138","65-74",1661,2020-08-08,3
"1139","75-84",1541,2020-08-08,3
"1140",">84",996,2020-08-08,0
"1141","<5",265,2020-08-09,2
"1142","5-14",841,2020-08-09,4
"1143","15-24",2624,2020-08-09,19
"1144","25-34",3432,2020-08-09,8
"1145","35-44",3178,2020-08-09,11
"1146","45-54",4197,2020-08-09,14
"1147","55-64",3303,2020-08-09,7
"1148","65-74",1663,2020-08-09,2
"1149","75-84",1542,2020-08-09,1
"1150",">84",998,2020-08-09,2
"1151","<5",267,2020-08-10,2
"1152","5-14",853,2020-08-10,12
"1153","15-24",2668,2020-08-10,44
"1154","25-34",3464,2020-08-10,32
"1155","35-44",3194,2020-08-10,16
"1156","45-54",4207,2020-08-10,10
"1157","55-64",3310,2020-08-10,7
"1158","65-74",1677,2020-08-10,14
"1159","75-84",1545,2020-08-10,3
"1160",">84",1000,2020-08-10,2
"1161","<5",284,2020-08-11,17
"1162","5-14",870,2020-08-11,17
"1163","15-24",2789,2020-08-11,121
"1164","25-34",3495,2020-08-11,31
"1165","35-44",3234,2020-08-11,40
"1166","45-54",4271,2020-08-11,64
"1167","55-64",3246,2020-08-11,-64
"1168","65-74",1668,2020-08-11,-9
"1169","75-84",1535,2020-08-11,-10
"1170",">84",974,2020-08-11,-26
"1171","<5",286,2020-08-12,2
"1172","5-14",872,2020-08-12,2
"1173","15-24",2862,2020-08-12,73
"1174","25-34",3527,2020-08-12,32
"1175","35-44",3259,2020-08-12,25
"1176","45-54",4287,2020-08-12,16
"1177","55-64",3257,2020-08-12,11
"1178","65-74",1674,2020-08-12,6
"1179","75-84",1538,2020-08-12,3
"1180",">84",975,2020-08-12,1
"1181","<5",289,2020-08-13,3
"1182","5-14",880,2020-08-13,8
"1183","15-24",2958,2020-08-13,96
"1184","25-34",3587,2020-08-13,60
"1185","35-44",3274,2020-08-13,15
"1186","45-54",4300,2020-08-13,13
"1187","55-64",3268,2020-08-13,11
"1188","65-74",1682,2020-08-13,8
"1189","75-84",1540,2020-08-13,2
"1190",">84",977,2020-08-13,2
"1191","<5",291,2020-08-14,2
"1192","5-14",891,2020-08-14,11
"1193","15-24",3097,2020-08-14,139
"1194","25-34",3664,2020-08-14,77
"1195","35-44",3307,2020-08-14,33
"1196","45-54",4322,2020-08-14,22
"1197","55-64",3281,2020-08-14,13
"1198","65-74",1693,2020-08-14,11
"1199","75-84",1543,2020-08-14,3
"1200",">84",978,2020-08-14,1
"1201","<5",291,2020-08-15,0
"1202","5-14",896,2020-08-15,5
"1203","15-24",3179,2020-08-15,82
"1204","25-34",3717,2020-08-15,53
"1205","35-44",3325,2020-08-15,18
"1206","45-54",4345,2020-08-15,23
"1207","55-64",3295,2020-08-15,14
"1208","65-74",1697,2020-08-15,4
"1209","75-84",1549,2020-08-15,6
"1210",">84",984,2020-08-15,6
"1211","<5",293,2020-08-16,2
"1212","5-14",904,2020-08-16,8
"1213","15-24",3245,2020-08-16,66
"1214","25-34",3753,2020-08-16,36
"1215","35-44",3345,2020-08-16,20
"1216","45-54",4363,2020-08-16,18
"1217","55-64",3302,2020-08-16,7
"1218","65-74",1698,2020-08-16,1
"1219","75-84",1551,2020-08-16,2
"1220",">84",984,2020-08-16,0
"1221","<5",297,2020-08-17,4
"1222","5-14",913,2020-08-17,9
"1223","15-24",3340,2020-08-17,95
"1224","25-34",3823,2020-08-17,70
"1225","35-44",3375,2020-08-17,30
"1226","45-54",4384,2020-08-17,21
"1227","55-64",3317,2020-08-17,15
"1228","65-74",1700,2020-08-17,2
"1229","75-84",1552,2020-08-17,1
"1230",">84",985,2020-08-17,1
"1231","<5",299,2020-08-18,2
"1232","5-14",928,2020-08-18,15
"1233","15-24",3435,2020-08-18,95
"1234","25-34",3880,2020-08-18,57
"1235","35-44",3393,2020-08-18,18
"1236","45-54",4408,2020-08-18,24
"1237","55-64",3332,2020-08-18,15
"1238","65-74",1708,2020-08-18,8
"1239","75-84",1554,2020-08-18,2
"1240",">84",987,2020-08-18,2
"1241","<5",304,2020-08-19,5
"1242","5-14",933,2020-08-19,5
"1243","15-24",3582,2020-08-19,147
"1244","25-34",3970,2020-08-19,90
"1245","35-44",3441,2020-08-19,48
"1246","45-54",4444,2020-08-19,36
"1247","55-64",3348,2020-08-19,16
"1248","65-74",1714,2020-08-19,6
"1249","75-84",1554,2020-08-19,0
"1250",">84",990,2020-08-19,3
"1251","<5",308,2020-08-20,4
"1252","5-14",958,2020-08-20,25
"1253","15-24",3675,2020-08-20,93
"1254","25-34",4035,2020-08-20,65
"1255","35-44",3484,2020-08-20,43
"1256","45-54",4483,2020-08-20,39
"1257","55-64",3368,2020-08-20,20
"1258","65-74",1723,2020-08-20,9
"1259","75-84",1558,2020-08-20,4
"1260",">84",990,2020-08-20,0
"1261","<5",314,2020-08-21,6
"1262","5-14",977,2020-08-21,19
"1263","15-24",3776,2020-08-21,101
"1264","25-34",4101,2020-08-21,66
"1265","35-44",3527,2020-08-21,43
"1266","45-54",4519,2020-08-21,36
"1267","55-64",3382,2020-08-21,14
"1268","65-74",1728,2020-08-21,5
"1269","75-84",1561,2020-08-21,3
"1270",">84",991,2020-08-21,1
"1271","<5",319,2020-08-22,5
"1272","5-14",993,2020-08-22,16
"1273","15-24",3834,2020-08-22,58
"1274","25-34",4151,2020-08-22,50
"1275","35-44",3561,2020-08-22,34
"1276","45-54",4546,2020-08-22,27
"1277","55-64",3398,2020-08-22,16
"1278","65-74",1733,2020-08-22,5
"1279","75-84",1562,2020-08-22,1
"1280",">84",991,2020-08-22,0
"1281","<5",321,2020-08-23,2
"1282","5-14",1001,2020-08-23,8
"1283","15-24",3904,2020-08-23,70
"1284","25-34",4223,2020-08-23,72
"1285","35-44",3592,2020-08-23,31
"1286","45-54",4588,2020-08-23,42
"1287","55-64",3411,2020-08-23,13
"1288","65-74",1744,2020-08-23,11
"1289","75-84",1562,2020-08-23,0
"1290",">84",993,2020-08-23,2
"1291","<5",325,2020-08-24,4
"1292","5-14",1010,2020-08-24,9
"1293","15-24",3953,2020-08-24,49
"1294","25-34",4272,2020-08-24,49
"1295","35-44",3621,2020-08-24,29
"1296","45-54",4605,2020-08-24,17
"1297","55-64",3423,2020-08-24,12
"1298","65-74",1752,2020-08-24,8
"1299","75-84",1564,2020-08-24,2
"1300",">84",999,2020-08-24,6
"1301","<5",332,2020-08-25,7
"1302","5-14",1046,2020-08-25,36
"1303","15-24",4028,2020-08-25,75
"1304","25-34",4353,2020-08-25,81
"1305","35-44",3660,2020-08-25,39
"1306","45-54",4636,2020-08-25,31
"1307","55-64",3436,2020-08-25,13
"1308","65-74",1761,2020-08-25,9
"1309","75-84",1567,2020-08-25,3
"1310",">84",1009,2020-08-25,10
"1311","<5",340,2020-08-26,8
"1312","5-14",1070,2020-08-26,24
"1313","15-24",4100,2020-08-26,72
"1314","25-34",4413,2020-08-26,60
"1315","35-44",3707,2020-08-26,47
"1316","45-54",4676,2020-08-26,40
"1317","55-64",3462,2020-08-26,26
"1318","65-74",1771,2020-08-26,10
"1319","75-84",1571,2020-08-26,4
"1320",">84",1010,2020-08-26,1
"1321","<5",343,2020-08-27,3
"1322","5-14",1082,2020-08-27,12
"1323","15-24",4160,2020-08-27,60
"1324","25-34",4466,2020-08-27,53
"1325","35-44",3739,2020-08-27,32
"1326","45-54",4713,2020-08-27,37
"1327","55-64",3487,2020-08-27,25
"1328","65-74",1782,2020-08-27,11
"1329","75-84",1575,2020-08-27,4
"1330",">84",1010,2020-08-27,0
"1331","<5",350,2020-08-28,7
"1332","5-14",1109,2020-08-28,27
"1333","15-24",4260,2020-08-28,100
"1334","25-34",4554,2020-08-28,88
"1335","35-44",3791,2020-08-28,52
"1336","45-54",4760,2020-08-28,47
"1337","55-64",3519,2020-08-28,32
"1338","65-74",1796,2020-08-28,14
"1339","75-84",1580,2020-08-28,5
"1340",">84",1015,2020-08-28,5
"1341","<5",352,2020-08-29,2
"1342","5-14",1126,2020-08-29,17
"1343","15-24",4323,2020-08-29,63
"1344","25-34",4583,2020-08-29,29
"1345","35-44",3819,2020-08-29,28
"1346","45-54",4785,2020-08-29,25
"1347","55-64",3539,2020-08-29,20
"1348","65-74",1801,2020-08-29,5
"1349","75-84",1586,2020-08-29,6
"1350",">84",1016,2020-08-29,1
"1351","<5",352,2020-08-30,0
"1352","5-14",1127,2020-08-30,1
"1353","15-24",4325,2020-08-30,2
"1354","25-34",4584,2020-08-30,1
"1355","35-44",3820,2020-08-30,1
"1356","45-54",4786,2020-08-30,1
"1357","55-64",3540,2020-08-30,1
"1358","65-74",1801,2020-08-30,0
"1359","75-84",1586,2020-08-30,0
"1360",">84",1016,2020-08-30,0
